0.01,0.00360595,-1.57,-0.00235899,1.57,0.000979094,0.5
0.02,0.00360798,-1.57,-0.00236034,1.57,0.000979649,0.5
0.03,0.00351408,-1.57,-0.0021463,1.57,0.00193753,0.5
0.04,0.00327343,-1.57,-0.00159595,1.57,0.00305257,0.5
0.05,0.0029115,-1.57,-0.000759146,1.57,0.00417522,0.5
0.06,0.00243412,-1.57,0.000351017,1.57,0.00530704,0.5
0.07,0.00184674,-1.57,0.00172005,1.57,0.00639542,0.5
0.08,0.0011548,-1.57,0.00333651,1.57,0.00749171,0.5
0.09,0.000363476,-1.57,0.00518805,1.57,0.00859603,0.5
0.1,-0.000522508,-1.57,0.00726264,1.57,0.00970777,0.5
0.11,-0.0014981,-1.57,0.00954982,1.57,0.0107784,0.5
0.12,-0.00255897,-1.57,0.0120388,1.57,0.0118572,0.5
0.13,-0.00370078,-1.57,0.0147195,1.57,0.0129443,0.5
0.14,-0.00491941,-1.57,0.0175819,1.57,0.0140396,0.5
0.15,-0.00621087,-1.57,0.020617,1.57,0.0151427,0.5
0.16,-0.00757139,-1.57,0.0238159,1.57,0.0162535,0.5
0.17,-0.00899735,-1.57,0.0271699,1.57,0.0173722,0.5
0.18,-0.0104852,-1.57,0.0306708,1.57,0.0185,0.5
0.19,-0.0120318,-1.57,0.0343112,1.57,0.0195846,0.5
0.2,-0.0136339,-1.57,0.0380835,1.57,0.0206771,0.5
0.21,-0.0152885,-1.57,0.0419805,1.57,0.0217777,0.5
0.22,-0.0169927,-1.57,0.0459953,1.57,0.0228858,0.5
0.23,-0.0187436,-1.57,0.0501216,1.57,0.0239529,0.5
0.24,-0.0205387,-1.57,0.0543531,1.57,0.0250282,0.5
0.25,-0.0223755,-1.57,0.0586839,1.57,0.0261614,0.5
0.26,-0.0242514,-1.57,0.0631082,1.57,0.0272526,0.5
0.27,-0.0242514,-1.57,0.0631082,1.57,0.0272526,0.5
0.28,-0.0281119,-1.57,0.0722161,1.57,0.029458,0.5
0.29,-0.0300923,-1.57,0.07689,1.57,0.0305725,0.5
0.3,-0.0321033,-1.57,0.0816374,1.57,0.0316964,0.5
0.31,-0.034143,-1.57,0.0864535,1.57,0.032777,0.5
0.32,-0.0362096,-1.57,0.091334,1.57,0.0338656,0.5
0.33,-0.0383012,-1.57,0.0962747,1.57,0.0349624,0.5
0.34,-0.0404163,-1.57,0.101272,1.57,0.0360668,0.5
0.35,-0.0425531,-1.57,0.106321,1.57,0.0371302,0.5
0.36,-0.0447102,-1.57,0.11142,1.57,0.0382514,0.5
0.37,-0.0447102,-1.57,0.11142,1.57,0.0382514,0.5
0.38,-0.0468863,-1.57,0.116564,1.57,0.0393801,0.5
0.39,-0.0490797,-1.57,0.121751,1.57,0.0404668,0.5
0.4,-0.0512896,-1.57,0.126977,1.57,0.0415613,0.5
0.41,-0.0535147,-1.57,0.13224,1.57,0.0426636,0.5
0.42,-0.0557539,-1.57,0.137538,1.57,0.043774,0.5
0.43,-0.058006,-1.57,0.142867,1.57,0.0448941,0.5
0.44,-0.0602697,-1.57,0.148225,1.57,0.0459706,0.5
0.45,-0.0625438,-1.57,0.153609,1.57,0.0470553,0.5
0.46,-0.0648273,-1.57,0.159015,1.57,0.0481482,0.5
0.47,-0.0671194,-1.57,0.164443,1.57,0.0492488,0.5
0.48,-0.069419,-1.57,0.16989,1.57,0.0503577,0.5
0.49,-0.0717253,-1.57,0.175353,1.57,0.0514742,0.5
0.5,-0.0740377,-1.57,0.180832,1.57,0.0525982,0.5
0.51,-0.0740377,-1.57,0.180832,1.57,0.0525982,0.5
0.52,-0.0786772,-1.57,0.191827,1.57,0.0547707,0.5
0.53,-0.0810032,-1.57,0.197341,1.57,0.0558687,0.5
0.54,-0.0833325,-1.57,0.202864,1.57,0.0569748,0.5
0.55,-0.0856642,-1.57,0.208394,1.57,0.0580913,0.5
0.56,-0.087998,-1.57,0.213929,1.57,0.0591639,0.5
0.57,-0.090333,-1.57,0.219468,1.57,0.0602446,0.5
0.58,-0.0926689,-1.57,0.22501,1.57,0.0613826,0.5
0.59,-0.0926689,-1.57,0.22501,1.57,0.0613826,0.5
0.6,-0.0950052,-1.57,0.230554,1.57,0.0624792,0.5
0.61,-0.0973413,-1.57,0.236098,1.57,0.0635834,0.5
0.62,-0.099677,-1.57,0.241642,1.57,0.0646953,0.5
0.63,-0.102012,-1.57,0.247186,1.57,0.0658145,0.5
0.64,-0.104346,-1.57,0.252728,1.57,0.0668924,0.5
0.65,-0.106679,-1.57,0.258267,1.57,0.0679782,0.5
0.66,-0.109009,-1.57,0.263801,1.57,0.0690719,0.5
0.67,-0.111337,-1.57,0.269332,1.57,0.0701737,0.5
0.68,-0.113663,-1.57,0.274858,1.57,0.071287,0.5
0.69,-0.115986,-1.57,0.280377,1.57,0.0723555,0.5
0.7,-0.118306,-1.57,0.28589,1.57,0.0734818,0.5
0.71,-0.120622,-1.57,0.291395,1.57,0.0746149,0.5
0.72,-0.122934,-1.57,0.296891,1.57,0.0757068,0.5
0.73,-0.125242,-1.57,0.302379,1.57,0.0768063,0.5
0.74,-0.127547,-1.57,0.307858,1.57,0.0779137,0.5
0.75,-0.129846,-1.57,0.313327,1.57,0.0790281,0.5
0.76,-0.132142,-1.57,0.318786,1.57,0.0801016,0.5
0.77,-0.134432,-1.57,0.324233,1.57,0.081183,0.5
0.78,-0.136717,-1.57,0.329668,1.57,0.0822725,0.5
0.79,-0.138996,-1.57,0.335092,1.57,0.0834238,0.5
0.8,-0.14127,-1.57,0.340502,1.57,0.0845291,0.5
